"Address
ID",Address,City ,Zip
1,195 W Oakland Ave,Salt Lake City,84115
2,2530 S 500 E,Salt Lake City,84106
3,233 Canyon Rd,Salt Lake City,84103
4,380 W 2880 S,Salt Lake City,84115
5,410 S State St,Salt Lake City,84111
6,3060 Lester St,West Valley City,84119
7,1330 2100 S,Salt Lake City,84106
8,300 State St,Salt Lake City,84103
9,300 State St,Salt Lake City,84103
10,600 E 900 South,Salt Lake City,84105
11,2600 Taylorsville Blvd,Salt Lake City,84118
12,3575 W Valley Central Station bus Loop,West Valley City,84119
13,2010 W 500 S,Salt Lake City,84104
14,4300 S 1300 E,Millcreek,84117
15,4580 S 2300 E,Holladay,84117
16,4580 S 2300 E,Holladay,84117
17,3148 S 1100 W,Salt Lake City,84119
18,1488 4800 S,Salt Lake City,84123
19,177 W Price Ave,Salt Lake City,84115
20,3595 Main St,Salt Lake City,84115
21,3595 Main St,Salt Lake City,84115
22,6351 South 900 East,Murray,84121
23,5100 South 2700 West,Salt Lake City,84118
24,5025 State St,Murray,84107
25,5383 South 900 East #104,Salt Lake City,84117
26,5383 South 900 East #104,Salt Lake City,84117
27,1060 Dalton Ave S,Salt Lake City,84104
28,2835 Main St,Salt Lake City,84115
29,1330 2100 S,Salt Lake City,84106
30,300 State St,Salt Lake City,84103
31,3365 S 900 W,Salt Lake City,84119
32,3365 S 900 W,Salt Lake City,84119
33,2530 S 500 E,Salt Lake City,84106
34,4580 S 2300 E,Holladay,84117
35,1060 Dalton Ave S,Salt Lake City,84104
36,2300 Parkway Blvd,West Valley City,84119
37,410 S State St,Salt Lake City,84111
38,410 S State St,Salt Lake City,84111
39,2010 W 500 S,Salt Lake City,84104
40,380 W 2880 S,Salt Lake City,84115
