"Package
ID",Address ID,"Delivery
Deadline","Weight
KILO",Status,Special notes
1,1,10:30 AM,21,at the hub,
2,2,EOD,44,at the hub,
3,3,EOD,2,at the hub,Can only be on truck 2
4,4,EOD,4,at the hub,
5,5,EOD,5,at the hub,
6,6,10:30 AM,88,at the hub,Delayed on flight---will not arrive to depot until 9:05 am
7,7,EOD,8,at the hub,
8,8,EOD,9,at the hub,
9,9,EOD,2,at the hub,Wrong address listed
10,10,EOD,1,at the hub,
11,11,EOD,1,at the hub,
12,12,EOD,1,at the hub,
13,13,10:30 AM,2,at the hub,
14,14,10:30 AM,88,at the hub,"Must be delivered with 15, 19"
15,15,9:00 AM,4,at the hub,
16,16,10:30 AM,88,at the hub,"Must be delivered with 13, 19"
17,17,EOD,2,at the hub,
18,18,EOD,6,at the hub,Can only be on truck 2
19,19,EOD,37,at the hub,
20,20,10:30 AM,37,at the hub,"Must be delivered with 13, 15"
21,21,EOD,3,at the hub,
22,22,EOD,2,at the hub,
23,23,EOD,5,at the hub,
24,24,EOD,7,at the hub,
25,25,10:30 AM,7,at the hub,Delayed on flight---will not arrive to depot until 9:05 am
26,26,EOD,25,at the hub,
27,27,EOD,5,at the hub,
28,28,EOD,7,at the hub,Delayed on flight---will not arrive to depot until 9:05 am
29,29,10:30 AM,2,at the hub,
30,30,10:30 AM,1,at the hub,
31,31,10:30 AM,1,at the hub,
32,32,EOD,1,at the hub,Delayed on flight---will not arrive to depot until 9:05 am
33,33,EOD,1,at the hub,
34,34,10:30 AM,2,at the hub,
35,35,EOD,88,at the hub,
36,36,EOD,88,at the hub,Can only be on truck 2
37,37,10:30 AM,2,at the hub,
38,38,EOD,9,at the hub,Can only be on truck 2
39,39,EOD,9,at the hub,
40,40,10:30 AM,45,at the hub,
